Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
132,Tuesday Aug 26,preview,CHC,@,SFG,9:45 PM,9:45 PM,9:45 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
133,Wednesday Aug 27,preview,CHC,@,SFG,9:45 PM,9:45 PM,9:45 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
134,Thursday Aug 28,preview,CHC,@,SFG,3:45 PM,3:45 PM,3:45 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
135,Friday Aug 29,preview,CHC,@,COL,8:40 PM,8:40 PM,8:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
136,Saturday Aug 30,preview,CHC,@,COL,8:10 PM,8:10 PM,8:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
137,Sunday Aug 31,preview,CHC,@,COL,3:10 PM,3:10 PM,3:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
138,Monday Sep 1,preview,CHC,,ATL,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
139,Tuesday Sep 2,preview,CHC,,ATL,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
140,Wednesday Sep 3,preview,CHC,,ATL,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
141,Friday Sep 5,preview,CHC,,WSN,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
142,Saturday Sep 6,preview,CHC,,WSN,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
143,Sunday Sep 7,preview,CHC,,WSN,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
144,Monday Sep 8,preview,CHC,@,ATL,7:15 PM,7:15 PM,7:15 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
145,Tuesday Sep 9,preview,CHC,@,ATL,7:15 PM,7:15 PM,7:15 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
146,Wednesday Sep 10,preview,CHC,@,ATL,7:15 PM,7:15 PM,7:15 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
147,Friday Sep 12,preview,CHC,,TBR,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
148,Saturday Sep 13,preview,CHC,,TBR,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
149,Sunday Sep 14,preview,CHC,,TBR,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
150,Monday Sep 15,preview,CHC,@,PIT,6:40 PM,6:40 PM,6:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
151,Tuesday Sep 16,preview,CHC,@,PIT,6:40 PM,6:40 PM,6:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
152,Wednesday Sep 17,preview,CHC,@,PIT,12:35 PM,12:35 PM,12:35 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
153,Thursday Sep 18,preview,CHC,@,CIN,7:15 PM,7:15 PM,7:15 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
154,Friday Sep 19,preview,CHC,@,CIN,6:40 PM,6:40 PM,6:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
155,Saturday Sep 20,preview,CHC,@,CIN,6:40 PM,6:40 PM,6:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
156,Sunday Sep 21,preview,CHC,@,CIN,1:40 PM,1:40 PM,1:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
157,Tuesday Sep 23,preview,CHC,,NYM,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
158,Wednesday Sep 24,preview,CHC,,NYM,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
159,Thursday Sep 25,preview,CHC,,NYM,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
160,Friday Sep 26,preview,CHC,,STL,2:20 PM,2:20 PM,2:20 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
